Bin	Step I	Step II	Step III	Step IV	Step V	Step VI	Step VII	Cryo Descriptive	Cryo Inital
55	0	0	0	0	0	0	0	0	0
58	0	0	0	0	0	0	0	0.005681125	0
61	0	0	0	0	0	0	0	0	0
62	0	0	0	0	0	0	0	0.01197233	0
64	0.013194617	0	0	0	0	0	0.029143033	0.010262764	0
66	0	0	0	0	0	0	0.060353631	0	0
69	0	0	0	0	0	0	0	0	0
72	0	0	0	0	0	0	0	0.006685412	0
74	0.021214851	0.031366515	0.035261629	0.052645652	0.0432408	0.022098166	0	0	0
80	0	0	0	0	0	0.007688017	0	0	0
82	0	0	0.017124679	0.035714383	0.025068048	0.015469963	0	0	0
85	0.024183759	0	0	0	0	0	0.031971282	0.007594499	0
90	0	0	0	0	0	0	0	0	0
97	0.015576912	0	0	0	0	0	0.019987044	0.016570059	0
105	0.014275849	0	0	0	0	0	0	0.013832071	0
107	0	0	0	0	0	0	0	0.009026512	0
112	0.02068439	0	0	0	0	0	0.027161435	0.0112818	0
113	0	0	0	0	0	0	0	0	0
119	0	0	0	0	0	0	0	0	0
122	0	0	0	0	0	0	0	0	0
128	0	0	0	0	0	0	0	0	0
134	0.016428756	0.035068684	0	0	0.023722083	0	0	0.004275928	0
137	0.01327108	0	0	0	0	0	0	0.004986572	0
140	0.014524353	0	0	0	0.020331627	0.012955502	0	0.003936696	0
144	0.024309206	0	0	0	0	0.00685679	0	0.008331959	0
146	0	0	0	0	0	0	0	0	0
154	0	0	0	0	0	0.010130993	0	0	0
157	0	0	0	0	0	0	0	0	0
160	0	0	0	0	0	0	0	0	0
169	0	0	0	0	0	0	0	0	0
171	0	0	0	0	0	0	0	0.003514333	0
175	0	0	0.007466971	0.011762368	0	0	0	0	0
176	0	0	0.007369605	0.012512139	0	0.007427012	0	0.00568917	0
178	0.112190087	0.188391978	0.293271668	0.186797711	0.222492945	0.159124253	0	0.240725768	0
180	0	0	0	0	0	0.006574173	0	0.005450501	0
182	0	0	0	0	0	0.00638216	0	0	0
187	0	0	0	0	0	0	0	0	0
189	0	0	0	0	0	0	0	0	0
193	0	0	0	0	0	0	0	0	0
194	0	0	0	0	0	0	0	0	0
196	0	0	0.007700314	0.016794865	0.014579069	0	0	0	0
198	0.015408455	0	0.017349628	0.033946549	0.022591561	0.01063056	0	0.005674421	0
200	0	0	0	0	0	0	0	0	0
203	0	0	0	0	0	0	0	0	0
206	0	0	0	0	0	0	0	0	0
209	0	0	0	0	0	0	0	0	0
212	0	0	0	0	0	0	0	0	0
213	0	0	0	0	0	0.013471694	0.0363565	0	0
214	0	0	0	0	0	0	0	0	0
216	0.033003269	0.024928817	0.030081082	0.05280735	0.059551189	0.121103936	0	0.045372572	0
217	0	0	0	0	0	0.153759514	0	0.24936746	0
218	0.190986227	0.19383454	0.093021538	0.147527789	0.126970501	0.132497562	0.080024592	0	0.092862138
219	0.239708581	0.434289234	0.338196042	0.190568245	0.234711023	0.158585618	0	0.243188885	0.465877275
220	0	0	0	0	0	0	0	0	0
223	0	0	0	0	0	0	0	0	0
225	0	0	0	0.0115275	0	0.009645557	0.07823056	0	0
226	0	0	0.016736893	0.024546411	0.017882903	0.006374679	0	0.016793979	0.104339565
228	0	0	0.027009015	0.053390003	0.041737139	0.030654816	0	0.009007741	0
229	0	0	0	0	0	0	0.058853973	0	0
230	0	0	0	0	0	0	0.156686894	0	0
231	0	0	0	0	0	0	0	0	0
234	0	0	0	0	0	0	0	0	0
236	0	0	0	0	0	0	0	0	0
240	0	0	0	0	0	0	0	0	0
241	0	0	0	0	0	0	0	0	0
243	0	0	0	0	0	0	0	0	0
245	0	0	0	0	0	0	0	0	0
249	0	0	0	0	0	0	0.030572353	0	0
250	0	0	0	0	0	0	0.138191692	0	0
254	0	0	0	0	0	0	0	0	0
256	0	0	0	0	0	0	0	0	0
258	0	0	0	0	0	0	0	0	0
261	0	0	0	0	0	0	0.031174127	0	0
264	0	0	0	0	0	0	0	0	0
266	0	0	0	0	0	0	0	0	0
273	0.024883872	0	0	0	0	0	0.029446959	0.017044716	0
289	0	0	0	0	0	0	0	0	0
291	0	0	0	0	0	0	0	0	0
292	0	0	0	0	0	0	0	0	0
294	0	0	0	0	0	0	0	0	0
298	0	0	0	0	0	0	0	0.003837475	0
300	0	0	0	0	0	0	0	0	0
312	0	0	0	0	0	0	0	0	0
313	0	0	0.007287347	0.012403738	0	0	0.042314319	0	0.044992317
314	0.052362701	0.031960528	0.045374272	0.077305884	0.0586139	0.019073332	0.149531607	0.007058164	0.185897227
317	0	0	0	0	0	0	0	0	0
318	0.053408092	0	0.007816146	0.012355861	0.011489568	0.010618923	0	0.009667432	0
324	0	0	0	0	0	0	0	0	0
327	0	0	0	0	0	0	0	0	0
340	0	0	0	0	0	0	0	0	0
354	0	0	0	0	0	0	0	0	0
376	0	0	0	0	0	0	0	0.003440587	0
398	0.015947279	0	0.014519297	0.02007308	0.021646498	0.013019506	0	0	0.037079184
403	0.019680815	0	0	0	0	0.025035722	0	0.011165147	0
405	0.064756848	0.060159704	0.034413873	0.047320473	0.055371145	0.040821551	0	0.008563924	0.068952293
408	0	0	0	0	0	0	0	0	0
412	0	0	0	0	0	0	0	0	0
437	0	0	0	0	0	0	0	0	0
602	0	0	0	0	0	0	0	0	0
611	0	0	0	0	0	0	0	0	0
613	0	0	0	0	0	0	0	0	0
614	0	0	0	0	0	0	0	0	0
616	0	0	0	0	0	0	0	0	0
618	0	0	0	0	0	0	0	0	0
